ULB,Latitude,Longitude,Guests
THANAGAJI,27.3985,76.3121,127507
TIBBI,31,70.68333333,136819
TIJARA,27.93,76.85,112898
TODABHIM,26.9167,76.8167,90543
TODARAI SINGH,26.0167,75.4833,42190
TONK,26.16666667,75.78333333,1000840
UDAIPUR,24.58333333,73.68333333,4406308
UDAIPURWATI,27.72885,75.47156111,438590
UJJCHAIN,26.9907,77.5938,137391
UNIARA,25.92,76.02,161044
VIDHYA VIHAR,28.37,75.6,405916
VIRATNAGAR,27.45,76.18,119505
WEIR,27.01861111,77.17638889,34571
